like,reply,retweet,time,username,text,status,tweet_link
0,0,0,2023-07-08T09:16:02.000Z,@seyn1101,PRJ masih penuh aja yaaa,1677607464538345473,https://twitter.com/@seyn1101/status/1677607464538345473
0,0,0,2023-07-08T09:15:46.000Z,@chupaahupss,"yang paling aneh itu, tiba² gua di PRJ",1677607398125752321,https://twitter.com/@chupaahupss/status/1677607398125752321
0,0,0,2023-07-08T09:05:22.000Z,@klmneedfood,AKU KE PRJ SENDIRI  bismillah aja duluu ngilangin stress,1677604780078923777,https://twitter.com/@klmneedfood/status/1677604780078923777
0,0,0,2023-07-08T09:03:51.000Z,@CitizensMills,Rame bgt ya prj,1677604399965958145,https://twitter.com/@CitizensMills/status/1677604399965958145
0,0,0,2023-07-08T09:00:01.000Z,@cacaicaaci,orang orang di prj ngapain sih,1677603433380216833,https://twitter.com/@cacaicaaci/status/1677603433380216833
0,0,0,2023-07-08T08:59:50.000Z,@cshndraa,nonton vid prj kmaren pdhl kgk ad yg hrs ditangisin ya TP KNAPA SY MNANGIS DARI AWAL AMPE AKHIELR WKWKWKWKK kek mikir bjir ntar gbs liat dia nyanyi nari sambil senyum lebar gini lagii cuy ,1677603387045736453,https://twitter.com/@cshndraa/status/1677603387045736453
0,0,0,2023-07-08T08:57:04.000Z,@dianelsyaa,"Open jastip PRJ,, yg mau DM ya",1677602692213141505,https://twitter.com/@dianelsyaa/status/1677602692213141505
0,0,0,2023-07-08T08:54:56.000Z,@nextart__,Hebat bgt orang orang yg kuat keliling jakarta fair terus bawa banyak tentengan,1677602153928753152,https://twitter.com/@nextart__/status/1677602153928753152
0,0,0,2023-07-08T08:54:00.000Z,@urcoldbrew,nyari parkir di prj bisa sejam sendiri anjing,1677601919932723200,https://twitter.com/@urcoldbrew/status/1677601919932723200
0,0,0,2023-07-08T08:51:14.000Z,@mschoiyu,PRJ more like Perkumpulan Rakyat Jabodetabek than Pekan Raya Jakarta,1677601224269635585,https://twitter.com/@mschoiyu/status/1677601224269635585
0,0,0,2023-07-08T08:42:48.000Z,@chacha_stp,"Kok km gemes bgt klarifikasi sambil ngambek gt hahahaaa  @N_ShaniJKT48  iyah2 ngelap keringet yah km di prj kmrn campur kena air hujan yah, tp km gemes bgt sumpah #PeShan",1677599100932595712,https://twitter.com/@chacha_stp/status/1677599100932595712
0,0,0,2023-07-08T08:42:45.000Z,@dobbydoppang,di PRJ di setel lagu kamu ga sendirian anjirrrr kangen sekolaahhhh ,1677599088857223168,https://twitter.com/@dobbydoppang/status/1677599088857223168
0,1,0,2023-07-08T08:35:25.000Z,@tbfhyeol,Ke prj 2x tuh gw buat apaaaaa,1677597241928978432,https://twitter.com/@tbfhyeol/status/1677597241928978432
0,0,0,2023-07-08T08:34:49.000Z,@WrPecel,"okeeehh lah kalo masih bisa tidur, kalo bisa sih tidur yang cukup yaa ci. isyaallah cici aku dateng yang di solo iyaaa aku tau yang di PRJ cuma keringat. pokoknya selama cici baik2 dan seneng aku juga bakal begitu kok ikut senang juga   @N_ShaniJKT48  #PeShan",1677597092188127234,https://twitter.com/@WrPecel/status/1677597092188127234
0,0,0,2023-07-08T08:30:15.000Z,@sta4rgaz3e,"Heels bkin sikil gw lecet, lagian ke prj pake heels, emang dasar ny gw yang dongo",1677595941958979586,https://twitter.com/@sta4rgaz3e/status/1677595941958979586
0,0,0,2023-07-08T08:29:46.000Z,·,prj konsernya tuh mulainya sama kelarnya jam berapa sih,1677595822417125378,https://twitter.com/·/status/1677595822417125378
0,0,0,2023-07-08T08:27:42.000Z,@Aprilichee,Maen ke PRJ mau liat2 skincarw auto ga jadiii ,1677595300469538816,https://twitter.com/@Aprilichee/status/1677595300469538816
0,0,0,2023-07-08T08:25:46.000Z,@aerillii,"prj rame pol anjir, pusing",1677594812684582914,https://twitter.com/@aerillii/status/1677594812684582914
0,1,0,2023-07-08T08:21:47.000Z,@luttfiee,PRJ adalah tempat jogging terbaik di Jakarta untuk saat ini.,1677593809847451650,https://twitter.com/@luttfiee/status/1677593809847451650
0,0,0,2023-07-08T08:21:38.000Z,@nauufalind,gak jadi ke prj sih cuman tiketnya jangan dihapus juga lah haha gitu banget mau sama orang lain haha,1677593773294104578,https://twitter.com/@nauufalind/status/1677593773294104578
0,0,0,2023-07-08T08:16:46.000Z,@JakartaFairID,"Sobat JFK, disini ada gak nih yang lagi pengen KONSULTASI GIGI & MULUT? Nah! Di #JakartaFair2023 Hall B, Sobat JFK bisa melakukan KONSULTASI SECARA GRATIS!  Tinggal 8 hari lagi lho, kapan lagi kan bisa konsultasi gigi & mulut gratis?",1677592549786271744,https://twitter.com/@JakartaFairID/status/1677592549786271744
0,2,0,2023-07-08T08:14:54.000Z,@istringstream,buset berapa kali nih gua liat temen gua sama cewenya ke prj gapapa si iri aja liatnya wkwkw,1677592081043443712,https://twitter.com/@istringstream/status/1677592081043443712
0,1,0,2023-07-08T08:14:34.000Z,@phrod1te_,yeu sok2an mukbang di prj makan shihlin aja kenyang,1677591995810971649,https://twitter.com/@phrod1te_/status/1677591995810971649
0,2,0,2023-07-08T08:08:23.000Z,@psycho666by,"Selamat sore jodohku, aku tunggu di PRJ. Tapi aku gak mau ketemu dulu. Wkwk",1677590437643837440,https://twitter.com/@psycho666by/status/1677590437643837440
0,0,0,2023-07-08T08:03:11.000Z,@EmpyreanCyan,Guysss mau nanya yang nge kos. Kalo biaya listrik ditanggung sendiri itu biaya listriknya AC ditanggung sendiri juga nggak? Makasih,1677589132107993088,https://twitter.com/@EmpyreanCyan/status/1677589132107993088
0,0,0,2023-07-08T07:58:12.000Z,@fitri_pus,Main ke PRJ langsung sampe  Main ke PRJ keliling Jakarta dulu krn nyasar ,1677587877587488768,https://twitter.com/@fitri_pus/status/1677587877587488768
0,0,0,2023-07-08T07:56:53.000Z,@seojola,Pland tuh prj anak2 kpop,1677587546174521350,https://twitter.com/@seojola/status/1677587546174521350
0,0,0,2023-07-08T07:53:50.000Z,@chesaava,PRJ PENUH BANGET!!,1677586779346714624,https://twitter.com/@chesaava/status/1677586779346714624
0,1,0,2023-07-08T07:50:51.000Z,@karamelmakiaro,"Mobilitas minggu ini bener2 satset ya anjir... kamis ke prj, jumat ke puncak, sabtu balik dari puncak-transit di kantor-lgsg ke travel buat otw bandung karena senin harus wfh",1677586026641100800,https://twitter.com/@karamelmakiaro/status/1677586026641100800
